lab_id,model_id,std_ang,std_dis,std_fea,std_hap,std_neu,std_sad,std_sur,unstd_neu,age,ethnicity,ethnicity_rec,face_shape,face_shape-specific,gender,gender_rec,height,height_units,height_cm,weight,weight_units,weight_kg,makeup_blush,makeup_concealer,makeup_eyebrow,makeup_eyelashes,makeup_eyes,makeup_foundation,makeup_lips,makeup_permanent,makeup_semipermanent
MF0015,0001,1,1,1,1,1,1,1,1,39,south asian,Asian,1,n/a,male,male,178,cm,178,130,kg,130,1,1,1,1,1,1,1,1,1
MF0015,0002,1,1,1,1,1,1,1,1,20,chinese,Asian,1,-,female,female,163,cm,163,80,kg,80,1,1,1,1,1,1,1,1,1
MF0015,0003,1,1,1,1,1,1,1,1,21,chinese,Asian,1,NA,male,male,170,cm,170,86,kg,86,1,1,1,1,1,1,1,1,1
MF0015,0004,1,1,1,1,1,1,1,1,21,chinese,Asian,1,NA,male,male,169,cm,169,102,kg,102,1,1,1,1,1,1,1,1,1
MF0015,0005,1,1,1,1,1,1,1,1,20,chinese,Asian,1,NA,female,female,155,cm,155,50,kg,50,1,1,1,1,1,1,1,1,1
MF0015,0006,1,1,1,1,1,1,1,0,45,hindu,Asian,1,nil,male,male,169,cm,169,89,kg,89,1,1,1,1,1,1,1,1,1
MF0015,0007,1,1,1,1,1,1,1,1,20,chinese,Asian,1,NA,female,female,149,cm,149,53,kg,53,1,1,1,1,1,1,1,1,1
MF0015,0008,1,1,1,1,1,1,1,1,23,malaysian chinese,Asian,1,nil,male,male,176,cm,176,67,kg,67,1,1,1,1,1,1,1,1,1
MF0015,0009,1,1,1,1,1,1,1,1,20,malaysian,Asian,1,NA,female,female,153,cm,153,54,kg,54,1,1,1,1,1,1,1,1,1
MF0015,0010,1,1,1,1,1,1,1,1,22,chinese,Asian,1,NA,female,female,167,cm,167,52,kg,52,1,1,1,1,1,1,2,2,1
MF0015,0011,1,1,1,1,1,1,1,0,21,malaysia chinese,Asian,1,-,male,male,171,cm,171,63,kg,63,1,1,1,1,1,1,1,1,1
MF0015,0012,1,1,1,1,1,1,1,1,21,malaysian chinese,Asian,1,NA,female,female,174,cm,174,58,kg,58,1,1,1,1,1,1,1,1,1
MF0015,0013,1,1,1,1,1,1,1,1,22,chinese,Asian,1,NA,female,female,165,cm,165,NA,NA,NA,1,1,1,1,1,1,1,1,1
MF0016,0001,1,1,1,1,1,1,1,1,23,ninguno,Ambiguous label,1,NA,mujer,female,170,cm,170,53,kg,53,1,1,1,1,1,1,1,1,1
MF0016,0002,1,1,1,1,1,1,1,1,23,ninguno,Ambiguous label,1,NA,femenino,female,150,cm,150,50,kg,50,1,1,1,1,1,1,1,1,1
MF0016,0003,1,1,1,1,1,1,1,1,20,mexicana,Latine,1,NA,femenino,female,155,cm,155,45,kg,45,1,1,1,1,1,2,1,1,1
MF0016,0004,1,1,1,1,1,1,1,1,24,mexicano,Latine,1,NA,mascãºlino,male,175,cm,175,89,kg,89,1,1,1,1,1,1,1,1,1
MF0016,0005,1,1,1,1,1,1,1,1,22,ninguno,Ambiguous label,1,NA,masculino,male,175,cm,175,68,kg,68,1,1,1,1,1,1,1,1,1
MF0016,0006,1,1,1,1,1,1,1,1,22,latino,Latine,2,Ortodoncia,masculino,male,179,cm,179,71,kg,71,2,1,1,1,1,1,1,1,1
MF0016,0007,1,1,1,1,1,1,1,1,22,ninguno,Ambiguous label,2,ME FRACTURÃ‰ EL TABIQUE DE LA NARIZ,femenino,female,152,cm,152,46,kg,46,1,1,1,1,1,1,1,1,1
MF0016,0008,1,1,1,1,1,1,1,1,48,mexicana,Latine,1,NA,mujer,female,162,cm,162,63,kg,63,2,2,1,1,1,2,1,1,1
MF0016,0009,1,1,1,1,1,1,1,1,28,latino,Latine,1,NA,masculino,male,163,cm,163,56,kg,56,1,1,1,1,1,1,1,1,1
MF0016,0010,1,1,1,1,1,1,1,1,21,ninguno,Ambiguous label,1,NA,femenino,female,156,cm,156,60,kg,60,1,1,1,1,1,1,1,1,1
MF0017,0004,1,1,1,1,1,1,1,1,18,caucasian,White,1,NA,male,male,174,cm,174,74,kg,74,1,1,1,1,1,1,1,1,1
MF0017,0005,1,1,1,1,1,1,1,1,20,eastern european,White,1,NA,female,female,168,cm,168,53,kg,53,1,1,1,1,1,1,1,1,1
MF0017,0006,1,1,1,1,1,1,1,1,35,south american,Latine,1,NA,female,female,160,cm,160,50,kg,50,2,2,1,1,2,2,2,1,1
MF0017,0007,0,0,0,0,1,0,0,1,24,dutch,White,1,NA,male,male,181,cm,181,82,kg,82,1,1,1,1,1,1,1,1,1
MF0017,0008,1,1,1,1,1,1,1,1,23,white,White,1,NA,male,male,184,cm,184,62,kg,62,1,1,1,1,1,1,1,1,1
MF0017,0009,1,1,1,1,1,0,0,1,18,turkish,Middle Eastern or North African (MENA),1,No,female,female,170,cm,170,60,kg,60,1,1,1,1,2,1,1,1,1
MF0017,0010,0,0,0,0,1,0,0,1,19,white,White,2,Orthodontic work to bring teeth forward\n,male,male,186,cm,186,105,kg,105,1,1,1,1,1,1,1,1,1
MF0017,0011,0,0,0,0,1,0,0,1,18,white,White,2,I have had braces in the past,female,female,62,in,157.48,135,lb,61.235042773811365,1,1,1,1,1,1,1,1,1
MF0017,0013,0,0,0,0,1,0,0,1,19,croatian,White,1,NA,female,female,163,cm,163,66,kg,66,1,1,1,1,1,1,1,1,1
MF0018,0001,1,1,1,1,1,1,1,1,22,serbian,White,1,NA,m,male,183,cm,183,85,kg,85,1,1,1,1,1,1,1,1,1
MF0018,0002,1,1,1,1,1,1,1,1,22,serbian,White,2,scar on forehead\n,f,female,172,cm,172,60,kg,60,1,1,1,1,1,1,1,1,1
MF0018,0003,1,1,1,1,1,1,1,1,23,serbian,White,1,NA,f,female,164,cm,164,56,kg,56,1,1,1,1,1,1,1,1,1
MF0018,0004,1,1,1,1,1,1,1,1,23,serbian,White,1,NA,f,female,173,cm,173,87,kg,87,1,1,1,1,1,1,1,1,1
MF0018,0005,1,1,1,1,1,1,1,1,29,serbian,White,1,NA,f,female,169,cm,169,54,kg,54,1,1,1,1,1,1,1,1,1
MF0018,0006,1,1,1,1,1,1,1,1,33,serbian,White,1,NA,m,male,187,cm,187,92,kg,92,1,1,1,1,1,1,1,1,1
